Year_name,Year_Year_Player_name,Year_Year_Player_College,Year_Year_Player_Tm,Year_Year_Player_Yrs,Year_Year_Player_G,Year_Year_Player_MP,Year_Year_Player_PTS,Year_Year_Player_TRB,Year_Year_Player_AST,Year_Year_Player_FG,Year_Year_Player_Three_point,Year_Year_Player_FT_per,Year_Year_Player_MP_per_game,Year_Year_Player_PTS_per_game,Year_Year_Player_TRB_per_game,Year_Year_Player_AST_per_game,Year_Year_Player_WS_per_game,Year_Year_Player_WS_div48,Year_Year_Player_BPM,Year_Year_Player_VORP
1953,Dean Kelley,Kansas,FTW,,,,,,,,,,,,,,,,,
1953,Norb Lewinski,Notre Dame,FTW,,,,,,,,,,,,,,,,,
1953,Dick White,Eastern Kentucky University,FTW,,,,,,,,,,,,,,,,,
1953,Irv Bemoras,Illinois,MLH,2,131,2479,827,341,125,0.347,,0.672,18.9,6.3,2.6,1,1.3,0.026,,
1953,Bill Bolger,Georgetown,MLH,1,20,202,56,36,11,0.407,,0.615,10.1,2.8,1.8,0.6,0.2,0.039,,
1953,Paul Brandt,Columbia University,MLH,,,,,,,,,,,,,,,,,
1953,Joe Cipriano,Washington,MLH,,,,,,,,,,,,,,,,,
1953,Gene Dyker,DePaul,MLH,1,11,91,16,16,5,0.231,,0.5,8.3,1.5,1.5,0.5,-0.3,-0.138,,
1953,Eddie O'Brien,Seattle University,MLH,,,,,,,,,,,,,,,,,
1953,John O'Brien,Seattle University,MLH,,,,,,,,,,,,,,,,,
1953,Bob Rousey,Kansas State,MLH,,,,,,,,,,,,,,,,,
1953,Darrell Tucker,Utah State University,MLH,,,,,,,,,,,,,,,,,
1953,Doug Atkins,Tennessee,MNL,,,,,,,,,,,,,,,,,
1953,Hank Budde,Xavier,MNL,,,,,,,,,,,,,,,,,
1953,Bill Chambers,William & Mary,MNL,,,,,,,,,,,,,,,,,
1953,Harold Christensen,BYU,MNL,,,,,,,,,,,,,,,,,
1953,Ron Feiereisel,DePaul,MNL,1,10,59,30,6,6,0.286,,0.875,5.9,3,0.6,0.6,0,0.04,,
1953,Ken Flowers,USC,MNL,,,,,,,,,,,,,,,,,
1953,Bob Gelle,Minnesota,MNL,,,,,,,,,,,,,,,,,
1953,Bob Gussner,Hamline University,MNL,,,,,,,,,,,,,,,,,
1953,Walt Kearns,Arkansas,MNL,,,,,,,,,,,,,,,,,
1953,Hartly Kruger,Idaho,MNL,,,,,,,,,,,,,,,,,
1953,Roger Kuss,Wisconsin-River Falls,MNL,,,,,,,,,,,,,,,,,
1953,Zippy Morocco,Georgia,MNL,,,,,,,,,,,,,,,,,
1953,Lloyd Olmstead,Cornell College,MNL,,,,,,,,,,,,,,,,,
1953,Joe Richey,BYU,MNL,,,,,,,,,,,,,,,,,
1953,Pete Silas,Georgia Tech,MNL,,,,,,,,,,,,,,,,,
1953,Lloyd Thorgaard,Hamline University,MNL,,,,,,,,,,,,,,,,,
1953,Chuck Wolfe,University of North Dakota,MNL,,,,,,,,,,,,,,,,,
1953,Dick Atha,Indiana State University,NYK,2,43,448,137,66,51,0.393,,0.795,10.4,3.2,1.5,1.2,0.6,0.068,,
1953,Delmer Diercks,Iowa State,NYK,,,,,,,,,,,,,,,,,
1953,Forrest Hamilton,Missouri State University,NYK,,,,,,,,,,,,,,,,,
1953,Bob Matheny,California,NYK,,,,,,,,,,,,,,,,,
1953,Larry O'Connor,Canisius,NYK,,,,,,,,,,,,,,,,,
1953,Richard Prater,Kentucky,NYK,,,,,,,,,,,,,,,,,
1953,Allan Schutts,Springfield College,NYK,,,,,,,,,,,,,,,,,
1953,Joe Smyth,Niagara University,NYK,1,40,495,131,98,49,0.348,,0.538,12.4,3.3,2.5,1.2,0.1,0.006,,
1953,Jack George,La Salle,PHW,8,506,15860,5153,2129,2169,0.364,,0.704,31.3,10.2,4.2,4.3,17.7,0.054,,
1953,Will Bales,Eastern Kentucky University,ROC,,,,,,,,,,,,,,,,,
1953,Hugh Beins,Georgetown,ROC,,,,,,,,,,,,,,,,,
1953,Bill Edwards,St. Bonaventure,ROC,,,,,,,,,,,,,,,,,
